Ticker,Company,NCT_ID,Trial Title,Drug / Asset,Modality,Therapy Area,Indication,Phase,Status,Primary Compl.,Partners,Sub-Indication,Lead Asset,Dev Stage,Next Catalyst,Catalyst Type,Trial Count,All Phases,Fetched At
MSFT,Microsoft Corporation,,,,,Cardiometabolic,,,,,Microsoft Corporation; EMC Consulting,Diabetes Mellitus,,Preclinical,Mar 2011,Clinical Update,4.0,Preclinical,2026-03-15
GILD,"Gilead Sciences, Inc.",,,,Small Molecule,Infectious Disease,,,,,Gilead Sciences; Financiadora de Estudos e Projetos; Sociedade Gaucha de Infectologia,Disseminated Histoplasma Capsulatum Infection,Single high dose of liposomal amphotericin B,Phase 3,Aug 2026,Commercial / Label Expansion,54.0,"Phase 1/2, Phase 2, Preclinical, Phase 1, Phase 3",2026-03-15
VRTX,Vertex Pharmaceuticals Incorporated,,,,Monoclonal Ab (mAb),Cardiometabolic,,,,,,Type 1 Diabetes,Biological/Vaccine,Phase 3,Sep 2026,Phase 3 Readout,100.0,"Phase 1/2, Phase 2, Preclinical, Phase 1, Phase 2/3, Phase 3",2026-03-15
REGN,"Regeneron Pharmaceuticals, Inc.",,,,Small Molecule,Oncology,,,,,Regeneron Pharmaceuticals; NSABP Foundation Inc,Colorectal Neoplasms,"Aflibercept (ziv-aflibercept, AVE0005, VEGF trap, ZALTRAP®)",Phase 3,Feb 2011,Phase 3 Data Readout,13.0,"Phase 1/2, Phase 2, Preclinical, Phase 1, Phase 3",2026-03-15
ARGX,argenx SE,,,,,,,,,,,,,,,,0.0,,2026-03-15
ALNY,"Alnylam Pharmaceuticals, Inc.",,,,Small Molecule,Infectious Disease,,,,,"Vir Biotechnology, Inc.; Alnylam Pharmaceuticals","Hepatitis B, Chronic",VIR-2218,Phase 2,Sep 2021,Phase 2 Data Readout,3.0,"Phase 1/2, Phase 2",2026-03-15
NTRA,"Natera, Inc.",,,,Monoclonal Ab (mAb),Oncology,,,,,"Genentech, Inc.; Natera, Inc.",Colon Adenocarcinoma,Atezolizumab,Phase 3,Dec 2026,Commercial / Label Expansion,52.0,"Phase 2, Preclinical, Phase 1, Phase 2/3, Phase 3",2026-03-15
RPRX,Royalty Pharma plc,,,,,,,,,,,,,,,,0.0,,2026-03-15
DXCM,"DexCom, Inc.",,,,Small Molecule,Cardiometabolic,,,,,Canadian Institutes of Health Research (CIHR); The Kidney Foundation of Canada; The Cleveland Clinic,Diabetic Nephropathies,Sotagliflozin,Phase 3,Dec 2028,Commercial / Label Expansion,100.0,"Preclinical, Phase 1/2, Phase 3, Phase 1",2026-03-15
UTHR,United Therapeutics Corporation,,,,,,,,,,,,,,,,0.0,,2026-03-15
BNTX,BioNTech SE,,,,Small Molecule,Oncology,,,,,Bristol-Myers Squibb,Breast Neoplasms,Pumitamig,Phase 3,Dec 2029,Phase 3 Readout,95.0,"Phase 1/2, Phase 2, Preclinical, Phase 1, Phase 2/3, Phase 3",2026-03-15
MRNA,"Moderna, Inc.",,,,RNA (siRNA/ASO/mRNA),Rare Disease,,,,,"Moderna, Inc",Cystic Fibrosis,VX-522 mRNA therapy,Phase 1/2,Dec 2026,Phase 1/2 Data Readout,1.0,Phase 1/2,2026-03-15
RVMD,"Revolution Medicines, Inc.",,,,Small Molecule,Oncology,,,,,,Pancreatic Cancer,daraxonrasib,Phase 3,May 2029,Phase 3 Readout,16.0,"Phase 1/2, Phase 2, Phase 3, Phase 1",2026-03-15
INCY,Incyte Corporation,,,,Small Molecule,CNS,,,,,,Hidradenitis Suppurativa (HS),povorcitinib,Phase 3,Feb 2028,Phase 3 Readout,100.0,"Phase 1/2, Phase 2, Preclinical, Phase 1, Phase 2/3, Phase 3",2026-03-15
MKSI,MKS Inc.,,,,,,,,,,,,,,,,0.0,,2026-03-15
ASND,Ascendis Pharma A/S,,,,Small Molecule,Oncology,,,,,,Turner Syndrome,Lonapegsomatropin [SKYTROFA®],Phase 3,Feb 2028,Commercial / Label Expansion,25.0,"Phase 1/2, Phase 2, Preclinical, Phase 1, Phase 2/3, Phase 3",2026-03-15
BBIO,"BridgeBio Pharma, Inc.",,,,,Cardiometabolic,,,,,"Bridgebio Pharma, Inc",Transthyretin (TTR) Amyloid Cardiomyopathy,,Preclinical,Jan 2027,Clinical Update,2.0,Preclinical,2026-03-15
NBIX,"Neurocrine Biosciences, Inc.",,,,Monoclonal Ab (mAb),CNS,,,,,"University of California, San Francisco; Veristat, Inc.; Feinstein Institute for Medical Research",Parkinson's Disease,VY-AADC01,Phase 1,Jan 2020,Phase 1 Data / Dose Escalation,1.0,Phase 1,2026-03-15
SMMT,Summit Therapeutics Inc.,,,,Monoclonal Ab (mAb),Oncology,,,,,Summit Therapeutics,Advanced Solid Tumors,Daraxonrasib,Phase 1/2,May 2029,Phase 1/2 Data Readout,1.0,Phase 1/2,2026-03-15
ALGN,"Align Technology, Inc.",,,,Small Molecule,Other,,,,,,Malocclusions,Probiotics,Preclinical,Nov 2025,Clinical Update,11.0,Preclinical,2026-03-15
IONS,"Ionis Pharmaceuticals, Inc.",,,,Small Molecule,Rare Disease,,,,,,Angelman Syndrome,ION582,Phase 3,Aug 2027,Phase 3 Readout,100.0,"Phase 1/2, Phase 2, Preclinical, Phase 1, Phase 3",2026-03-15
LSCC,Lattice Semiconductor Corporation,,,,,,,,,,,,,,,,0.0,,2026-03-15
ELAN,Elanco Animal Health Incorporated,,,,,,,,,,,,,,,,0.0,,2026-03-15
BMRN,BioMarin Pharmaceutical Inc.,,,,Small Molecule,Oncology,,,,,"Translational Research in Oncology; BioMarin Pharmaceutical; Medivation, Inc.",Metastatic Cancer,PARP inhibitor BMN-673,Phase 1,Oct 2019,Phase 1 Data / Dose Escalation,3.0,"Preclinical, Phase 1",2026-03-15
EXEL,"Exelixis, Inc.",,,,Monoclonal Ab (mAb),Oncology,,,,,"Exelixis; Novartis; Clovis Oncology, Inc.",Cancer,Nivolumab,Phase 2,Aug 2029,Phase 2 Data Readout,6.0,"Phase 2, Phase 1",2026-03-15
JAZZ,Jazz Pharmaceuticals plc,,,,,CNS,,,,,Invitae Corporation; Wake Up Narcolepsy; Narcolepsy Network,Narcolepsy,,Preclinical,Aug 2021,Clinical Update,1.0,Preclinical,2026-03-15
MDGL,"Madrigal Pharmaceuticals, Inc.",,,,Small Molecule,Cardiometabolic,,,,,,Non-Alcoholic Fatty Liver Disease,Resmetirom,Phase 3,Mar 2026,Phase 3 Readout,17.0,"Phase 2, Phase 3, Phase 1",2026-03-15
PRAX,"Praxis Precision Medicines, Inc.",,,,,,,,,,,,,,,,0.0,,2026-03-15
AXSM,"Axsome Therapeutics, Inc.",,,,Small Molecule,CNS,,,,,,Fibromyalgia,AXS-14 (Esreboxetine),Phase 3,Mar 2028,Commercial / Label Expansion,29.0,"Phase 2, Preclinical, Phase 1, Phase 2/3, Phase 3",2026-03-15
PCVX,"Vaxcyte, Inc.",,,,Monoclonal Ab (mAb),Infectious Disease,,,,,,Pneumococcal Vaccines,31 valent pneumococcal conjugate vaccine,Phase 3,Jan 2027,Phase 3 Readout,8.0,"Phase 1/2, Phase 2, Phase 3",2026-03-15
ARWR,"Arrowhead Pharmaceuticals, Inc.",,,,,,,,,,,,,,,,0.0,,2026-03-15
NUVL,"Nuvalent, Inc.",,,,Small Molecule,Oncology,,,,,,Non-small Cell Lung Cancer,Neladalkib (NVL-655),Phase 3,Dec 2029,Phase 3 Readout,4.0,"Phase 1/2, Phase 3, Phase 1",2026-03-15
HALO,"Halozyme Therapeutics, Inc.",,,,,,,,,,,,,,,,0.0,,2026-03-15
KRYS,"Krystal Biotech, Inc.",,,,Monoclonal Ab (mAb),Rare Disease,,,,,,Dystrophic Epidermolysis Bullosa,KB803,Phase 3,Dec 2026,Phase 3 Readout,13.0,"Phase 1/2, Phase 3, Preclinical, Phase 1",2026-03-15
KYMR,"Kymera Therapeutics, Inc.",,,,Small Molecule,Oncology,,,,,,Atopic Dermatitis,KT-621,Phase 2,Jun 2027,Phase 2 Data Readout,10.0,"Preclinical, Phase 2, Phase 1",2026-03-15
GRFS,"Grifols, S.A.",,,,Small Molecule,Infectious Disease,,,,,,Hepatitis B,Hepatitis B immune globulin,Phase 3,Jun 2014,Phase 3 Data Readout,27.0,"Phase 1/2, Phase 2, Preclinical, Phase 2/3, Phase 3",2026-03-15
RYTM,"Rhythm Pharmaceuticals, Inc.",,,,Small Molecule,Cardiometabolic,,,,,,Hypothalamic Obesity,Setmelanotide,Phase 3,Mar 2027,Commercial / Label Expansion,31.0,"Phase 1/2, Phase 2, Preclinical, Phase 1, Phase 2/3, Phase 3",2026-03-15
PTGX,"Protagonist Therapeutics, Inc.",,,,Small Molecule,Oncology,,,,,,Polycythemia Vera,Rusfertide,Phase 3,Feb 2025,Phase 3 Readout,13.0,"Phase 2, Phase 3, Phase 1",2026-03-15
COGT,"Cogent Biosciences, Inc.",,,,Small Molecule,Oncology,,,,,,Advanced Gastrointestinal Stromal Tumors,CGT9486 plus sunitinib,Phase 3,Sep 2025,Phase 3 Readout,9.0,"Phase 1/2, Phase 2, Phase 3, Phase 1",2026-03-15
MIRM,"Mirum Pharmaceuticals, Inc.",,,,Small Molecule,Immunology,,,,,,"Cholestatic Liver Disease (Except ALGS, PFIC, PBC and PSC)",Maralixibat,Phase 3,Oct 2026,Commercial / Label Expansion,35.0,"Phase 2, Preclinical, Phase 1, Phase 2/3, Phase 3",2026-03-15
CGON,"CG Oncology, Inc.",,,,Monoclonal Ab (mAb),Oncology,,,,,,Non Muscle Invasive Bladder Cancer,Cretostimogene Grenadenorepvec,Phase 3,Dec 2027,Phase 3 Readout,6.0,"Phase 2, Phase 3, Phase 1",2026-03-15
PTCT,"PTC Therapeutics, Inc.",,,,,,,,,,,,,,,,0.0,,2026-03-15
LNTH,"Lantheus Holdings, Inc.",,,,,,,,,,,,,,,,0.0,,2026-03-15
IMVT,"Immunovant, Inc.",,,,,,,,,,,,,,,,0.0,,2026-03-15
