Ticker,Company,NCT_ID,Title,Phase,Status,Drug_Names,Int_Types,Conditions,PrimCompl,Partners
ACRS,"Aclaris Therapeutics, Inc.",NCT07011706,ATI-045 Versus Placebo in Patients With Moderate-to-Severe Atopic Dermatitis,Phase 2,RECRUITING,ATI-045; Placebo,DRUG,Atopic Dermatitis; Atopic; Dermatitis,2026-08,
ACRS,"Aclaris Therapeutics, Inc.",NCT06648434,MK2 Inhibitor in Combination With mFOLFIRINOX for Untreated Metastatic Pancreatic Ductal Adenocarcinoma,Phase 1,RECRUITING,Zunsemetinib; mFOLFIRINOX,DRUG,Metastatic Pancreatic Ductal Adenocarcinoma; Pancreatic Cancer; Cancer of the Pancreas,2027-06-30,National Cancer Institute (NCI)
ACRS,"Aclaris Therapeutics, Inc.",NCT06374459,Zunsemetinib in Combination With Capecitabine in Patients With Hormone Receptor-Positive and HER2-Negative Metastatic Br,Phase 1/2,RECRUITING,Zumsemetinib; Capecitabine; Zoledronic acid,DRUG,Hormone Receptor Positive HER-2 Negative Metastatic Breast Cancer,2032-05-31,United States Department of Defense
ACRS,"Aclaris Therapeutics, Inc.",NCT06585202,Study of ATI-2138 in Adult Participants With Moderate to Severe Atopic Dermatitis,Phase 2,COMPLETED,ATI-2138,DRUG,Atopic Dermatitis,2025-03-13,
ACRS,"Aclaris Therapeutics, Inc.",NCT05511519,Study of ATI-450 vs Placebo in Patients With Moderate to Severe Psoriatic Arthritis,Phase 2,TERMINATED,ATI-450; Placebo Oral Tablet,DRUG,Psoriatic Arthritis,2023-12-06,
ACRS,"Aclaris Therapeutics, Inc.",NCT05432596,Study of ATI-1777 in Patients 12 to 65 Years Old With Mild to Severe Atopic Dermatitis,Phase 2,COMPLETED,ATI-1777 2.0% w/w; ATI-1777 1.0% w/w; ATI-1777 0.5% w/w,DRUG,Atopic Dermatitis,2023-10-26,
ACRS,"Aclaris Therapeutics, Inc.",NCT05279417,ATI-450 Plus Methotrexate (MTX) Versus Placebo Plus MTX in Participants With Moderate to Severe Active Rheumatoid Arthri,Phase 2,COMPLETED,ATI-450 50 mg oral tablet BID; Placebo oral tablet; Methotrexate,DRUG,Rheumatoid Arthritis,2023-09-05,
ACRS,"Aclaris Therapeutics, Inc.",NCT05216224,ATI-450 vs Placebo in Participants With Moderate to Severe Hidradenitis Suppurativa (HS),Phase 2,COMPLETED,ATI-450; Placebo oral tablet,DRUG,Hidradenitis Suppurativa,2022-12-23,
ACRS,"Aclaris Therapeutics, Inc.",NCT04524858,Study of ATI-450 in Patients With Cryopyrin-Associated Periodic Syndrome (CAPS),Phase 2,TERMINATED,ATI-450,DRUG,Cryopyrin-Associated Periodic Syndrome,2021-02-25,
ACRS,"Aclaris Therapeutics, Inc.",NCT04598269,Study of ATI-1777 in Adult Patients With Moderate or Severe Atopic Dermatitis,Phase 2,COMPLETED,ATI-1777; Vehicle,DRUG,Atopic Dermatitis,2021-04-08,
ACRS,"Aclaris Therapeutics, Inc.",NCT04247815,Study of ATI-450 Plus Methotrexate (MTX) vs MTX Alone in Patients With Moderate to Severe RA,Phase 2,COMPLETED,ATI-450; Placebo oral tablet; Methotrexate,DRUG,Rheumatoid Arthritis,2021-02-04,
ACRS,"Aclaris Therapeutics, Inc.",NCT03812510,Safety Study of A-101 Topical Solution for the Treatment of Common Warts,Phase 3,COMPLETED,A-101,DRUG,Common Wart,2019-11-27,
ACRS,"Aclaris Therapeutics, Inc.",NCT03759340,"ATI-502 Topical Solution for the Treatment of Alopecia Areata (AA), Alopecia Universalis (AU) and Alopecia Totalis (AT)",Phase 2,TERMINATED,ATI 502 0.46% Topical Solution,DRUG,Alopecia Areata; Alopecia Universalis; Alopecia Totalis,2019-09-11,
ACRS,"Aclaris Therapeutics, Inc.",NCT03687372,Study of A-101 Topical Solution for the Treatment of Common Warts,Phase 3,COMPLETED,A-101,DRUG,Common Wart,2019-06-20,
ACRS,"Aclaris Therapeutics, Inc.",NCT03691831,A Study of A-101 Topical Solution for the Treatment of Common Warts,Phase 3,COMPLETED,Active,DRUG,Common Wart,2019-04-21,
ACRS,"Aclaris Therapeutics, Inc.",NCT03585296,A Study of ATI-502 Topical Solution for the Treatment of Atopic Dermatitis,Phase 2,COMPLETED,ATI-502,DRUG,Atopic Dermatitis,2019-04-25,
