Ticker,Therapy Area,Sub-Indication,Modality,Lead Asset,Dev Stage,Next Catalyst,Catalyst Type,Partners,Trial_Count
ABOS,CNS,,,,,,,,0
ACRS,Oncology,Common Wart,Small Molecule,A-101,Phase 3,Q4 2019,NDA/BLA Filing / Submission,United States Department of Defense,35
ADMA,Rare Disease,Primary Immune Deficiency Disorder,Other Biologic,RI-002,Phase 3,2014-12,NDA/BLA Filing / Submission,,5
ADPT,Other,,,,,,,,0
AGEN,Oncology,Colorectal Cancer,Monoclonal Ab (mAb),Balstilimab,Phase 3,Q4 2028,Phase 3 Enrolment / Data,UNICANCER; Dana-Farber Cancer Institute; CarThera,50
AGIO,Oncology,Pediatric Pyruvate Kinase Deficiency,Monoclonal Ab (mAb),Mitapivat,Phase 3,Q2 2024,Phase 3 Interim / Readout,"National Heart, Lung, and Blood Institute (NHLBI); Bristol-Myers Squibb",50
AGMB,Immunology,Fibrostenotic Crohn's Disease,Small Molecule,AGMB-129,Phase 2,2026-09,Phase 2 Data Readout,,6
AKBA,Cardiometabolic,Nonintubated Acute Respiratory Distress Syndrome (ARDS),Small Molecule,Vadadustat 900mg,Phase 2/3,Q3 2026,Phase 2/3 Update,"Akebia Therapeutics Inc.; Otsuka Pharmaceutical Development & Commercialization, Inc.; United States Department of Defen",4
ALDX,Oncology,Primary Vitreoretinal Lymphoma,Small Molecule,ICM ADX-2191 injection,Phase 3,2026-12,Phase 3 Enrolment / Data,"ORA, Inc.",34
ALEC,CNS,Alzheimer's Disease,Other Biologic,GSK4527226,Phase 2,Q3 2028,Phase 2 Enrolment / Interim,AbbVie; Alector Inc.; GlaxoSmithKline,12
ALGN,Other,Malocclusions,,,Preclinical,2025-11,Preclinical Update,,11
ALGS,Rare Disease,,,,,,,,0
ALKS,Other,,,,,,,,0
ALLO,Oncology,Large B-cell Lymphoma,Gene Therapy,cemacabtagene ansegedleucel,Phase 2,Q3 2027,Phase 2 Enrolment / Interim,"Foresight Diagnostics, Inc.",1
ALNY,Rare Disease,"Hepatitis B, Chronic",Small Molecule,VIR-2218,Phase 2,Q3 2021,Phase 3 Decision,"Vir Biotechnology, Inc.; Alnylam Pharmaceuticals",3
ALRS,Other,,,,,,,,0
ALTO,Other,,,,,,,,0
AMRN,Cardiometabolic,,,,,,,,0
ANAB,Immunology,Ulcerative Colitis,Other Biologic,Rosnilimab,Phase 2,2026-01,Phase 2 Data Readout,Medicines Evaluation Unit Ltd,8
ANIK,CNS,"Osteoarthritis, Knee",Small Molecule,Cingal,Phase 3,Q2 2022,NDA/BLA Filing / Submission,,18
ANIP,CNS,,,,,,,,0
ANNX,Rare Disease,Guillain-Barre Syndrome,Other Biologic,Tanruprubart,Phase 3,Q4 2026,Phase 3 Enrolment / Data,ResearchPoint Global; Nucleus Network Ltd,16
ANVS,CNS,Parkinson's Disease (PD),Small Molecule,buntanetap/posiphen,Phase 2/3,2029-09,Phase 2/3 Update,TFS Trial Form Support; Prevail Infoworks; Parexel,7
APGE,Immunology,Atopic Dermatitis,Small Molecule,APG777,Phase 2,2029-12,Phase 2 Enrolment / Interim,,4
APLS,Rare Disease,Delayed Graft Function,Small Molecule,Pegcetacoplan,Phase 3,2027-08,Phase 3 Enrolment / Data,Iqvia Pty Ltd,28
APOG,CNS,,,,,,,,0
AQST,CNS,,,,,,,,0
ARDX,Rare Disease,,,,,,,,0
ARGX,Immunology,,,,,,,,0
ARMP,Rare Disease,Non-cystic Fibrosis Bronchiectasis,Other Biologic,AP-PA02,Phase 2,Q3 2024,Phase 3 Decision,"E Squared Trials and Registries, Inc.; Vantage Data Designs, Inc.; Walter Reed Army Institute of Research (WRAIR)",11
ARQT,CNS,Scalp Psoriasis,Other Biologic,Roflumilast Foam 0.3%,Phase 3,Q2 2022,NDA/BLA Filing / Submission,,27
ARTV,Oncology,Refractory Rheumatoid Arthritis (RA),Cell Therapy,Allogeneic NK Cells,Phase 2,2028-01,Phase 2 Enrolment / Interim,,6
ARWR,CNS,,,,,,,,0
ASND,Oncology,Hypoparathyroidism,ADC / Bispecific,Palopegteriparatide Experimental Arm,Phase 3,2027-06,Phase 3 Update,,28
ATRA,Oncology,,,,,,,,0
ATRC,CNS,Atrial Fibrillation,Small Molecule,,Phase 3,2009-12,NDA/BLA Filing / Submission,Adventist Heart and Vascular Institute; Population Health Research Institute; Cardialysis BV,36
ATRO,Other,,,,,,,,0
ATYR,Immunology,Pulmonary Sarcoidosis,Other Biologic,Efzofitimod 3 mg/kg,Phase 3,Q3 2025,Phase 3 Interim / Readout,"FSH Society, Inc.; Kyorin Pharmaceutical Co.,Ltd; Muscular Dystrophy Canada",10
AURA,Oncology,,,,,,,,0
AUTL,Oncology,,,,,,,,0
AVAL,CNS,,,,,,,,0
AVDL,CNS,,,,,,,,0
AVIR,CNS,HEPATITIS C VIRUS CHRONIC INFECTION,Small Molecule,Bemnifosbuvir-Ruzasvir,Phase 3,2026-12,Phase 3 Enrolment / Data,Hoffmann-La Roche,34
AXSM,Rare Disease,Fibromyalgia,Small Molecule,AXS-14 (Esreboxetine),Phase 3,2028-03,Phase 3 Enrolment / Data,National Multiple Sclerosis Society,32
AZTA,Other,,,,,,,,0
