cik,name,ticker,exchange,exchange_lower,cik_zfill
0001628171,"Revolution Medicines, Inc.",RVMD,Nasdaq,nasdaq,0001628171
0000914475,NEUROCRINE BIOSCIENCES INC,NBIX,Nasdaq,nasdaq,0000914475
0001159036,"HALOZYME THERAPEUTICS, INC.",HALO,Nasdaq,nasdaq,0001159036
0001711279,"Krystal Biotech, Inc.",KRYS,Nasdaq,nasdaq,0001711279
0001815442,"Kymera Therapeutics, Inc.",KYMR,Nasdaq,nasdaq,0001815442
0001991792,"CG Oncology, Inc.",CGON,Nasdaq,nasdaq,0001991792
0001764013,"Immunovant, Inc.",IMVT,Nasdaq,nasdaq,0001764013
0001974640,"Apogee Therapeutics, Inc.",APGE,Nasdaq,nasdaq,0001974640
0001674416,CRISPR Therapeutics AG,CRSP,Nasdaq,nasdaq,0001674416
0001368514,"ADMA BIOLOGICS, INC.",ADMA,Nasdaq,nasdaq,0001368514
0001714899,Denali Therapeutics Inc.,DNLI,Nasdaq,nasdaq,0001714899
0001819790,"Tarsus Pharmaceuticals, Inc.",TARS,Nasdaq,nasdaq,0001819790
0001745999,Beam Therapeutics Inc.,BEAM,Nasdaq,nasdaq,0001745999
0001842295,"Maze Therapeutics, Inc.",MAZE,Nasdaq,nasdaq,0001842295
0001478320,Adaptive Biotechnologies Corp,ADPT,Nasdaq,nasdaq,0001478320
0000882796,BIOCRYST PHARMACEUTICALS INC,BCRX,Nasdaq,nasdaq,0000882796
0001425205,"IOVANCE BIOTHERAPEUTICS, INC.",IOVA,Nasdaq,nasdaq,0001425205
0000744218,"Celldex Therapeutics, Inc.",CLDX,Nasdaq,nasdaq,0000744218
0001812364,"Relay Therapeutics, Inc.",RLAY,Nasdaq,nasdaq,0001812364
0001601830,"RECURSION PHARMACEUTICALS, INC.",RXRX,Nasdaq,nasdaq,0001601830
0001671927,Immunocore Holdings plc,IMCR,Nasdaq,nasdaq,0001671927
0001652130,"Intellia Therapeutics, Inc.",NTLA,Nasdaq,nasdaq,0001652130
0001706431,"Vir Biotechnology, Inc.",VIR,Nasdaq,nasdaq,0001706431
0001826457,"Monte Rosa Therapeutics, Inc.",GLUE,Nasdaq,nasdaq,0001826457
0001806310,"Taysha Gene Therapies, Inc.",TSHA,Nasdaq,nasdaq,0001806310
0002007919,"Inhibrx Biosciences, Inc.",INBX,Nasdaq,nasdaq,0002007919
0001738021,"Compass Therapeutics, Inc.",CMPX,Nasdaq,nasdaq,0001738021
0001982708,Anbio Biotechnology,NNNN,Nasdaq,nasdaq,0001982708
0001789972,"Cullinan Therapeutics, Inc.",CGEM,Nasdaq,nasdaq,0001789972
0001770121,"Sana Biotechnology, Inc.",SANA,Nasdaq,nasdaq,0001770121
0001861123,"Eikon Therapeutics, Inc.",EIKN,Nasdaq,nasdaq,0001861123
0002020932,Agomab Therapeutics NV,AGMB,Nasdaq,nasdaq,0002020932
0001817229,Vor Biopharma Inc.,VOR,Nasdaq,nasdaq,0001817229
0001707502,Solid Biosciences Inc.,SLDB,Nasdaq,nasdaq,0001707502
0001737287,"Allogene Therapeutics, Inc.",ALLO,Nasdaq,nasdaq,0001737287
0001885522,"Neumora Therapeutics, Inc.",NMRA,Nasdaq,nasdaq,0001885522
0001994702,"Kyverna Therapeutics, Inc.",KYTX,Nasdaq,nasdaq,0001994702
0001907108,"Lexeo Therapeutics, Inc.",LXEO,Nasdaq,nasdaq,0001907108
0001650648,"4D Molecular Therapeutics, Inc.",FDMT,Nasdaq,nasdaq,0001650648
0000899923,MYRIAD GENETICS INC,MYGN,Nasdaq,nasdaq,0000899923
0001980845,enGene Holdings Inc.,ENGN,Nasdaq,nasdaq,0001980845
0000921114,"Armata Pharmaceuticals, Inc.",ARMP,NYSE,nyse,0000921114
0001730463,Autolus Therapeutics plc,AUTL,Nasdaq,nasdaq,0001730463
0000876343,"Lineage Cell Therapeutics, Inc.",LCTX,NYSE,nyse,0000876343
0001382101,"SUTRO BIOPHARMA, INC.",STRO,Nasdaq,nasdaq,0001382101
0001501697,"X4 Pharmaceuticals, Inc",XFOR,Nasdaq,nasdaq,0001501697
0001841387,"Candel Therapeutics, Inc.",CADL,Nasdaq,nasdaq,0001841387
0001815776,"LENZ Therapeutics, Inc.",LENZ,Nasdaq,nasdaq,0001815776
0001501796,"Aura Biosciences, Inc.",AURA,Nasdaq,nasdaq,0001501796
0001359931,"Protara Therapeutics, Inc.",TARA,Nasdaq,nasdaq,0001359931
0001662579,"C4 Therapeutics, Inc.",CCCC,Nasdaq,nasdaq,0001662579
0001512762,"Coherus Oncology, Inc.",CHRS,Nasdaq,nasdaq,0001512762
0001640266,"Voyager Therapeutics, Inc.",VYGR,Nasdaq,nasdaq,0001640266
0001211583,FENNEC PHARMACEUTICALS INC.,FENC,Nasdaq,nasdaq,0001211583
0001850119,"Century Therapeutics, Inc.",IPSC,Nasdaq,nasdaq,0001850119
0001750149,"Inhibikase Therapeutics, Inc.",IKT,Nasdaq,nasdaq,0001750149
0001006281,"Protalix BioTherapeutics, Inc.",PLX,NYSE,nyse,0001006281
0001576885,"Acumen Pharmaceuticals, Inc.",ABOS,Nasdaq,nasdaq,0001576885
0001833214,"SAB Biotherapeutics, Inc.",SABS,Nasdaq,nasdaq,0001833214
0001858848,"Tenaya Therapeutics, Inc.",TNYA,Nasdaq,nasdaq,0001858848
0001619856,"Caribou Biosciences, Inc.",CRBU,Nasdaq,nasdaq,0001619856
0001754068,"Kalaris Therapeutics, Inc.",KLRS,Nasdaq,nasdaq,0001754068
0001001233,"SANGAMO THERAPEUTICS, INC",SGMO,Nasdaq,nasdaq,0001001233
0001598599,Innate Pharma SA,IPHA,Nasdaq,nasdaq,0001598599
0001434316,FATE THERAPEUTICS INC,FATE,Nasdaq,nasdaq,0001434316
0001817241,"Artiva Biotherapeutics, Inc.",ARTV,Nasdaq,nasdaq,0001817241
0001213037,"Cardiff Oncology, Inc.",CRDF,Nasdaq,nasdaq,0001213037
0001701541,"Black Diamond Therapeutics, Inc.",BDTX,Nasdaq,nasdaq,0001701541
0001357874,PRECISION BIOSCIENCES INC,DTIL,Nasdaq,nasdaq,0001357874
0001702123,Cardiol Therapeutics Inc.,CRDL,Nasdaq,nasdaq,0001702123
0001455365,COGNITION THERAPEUTICS INC,CGTX,Nasdaq,nasdaq,0001455365
0001339970,aTYR PHARMA INC,ATYR,Nasdaq,nasdaq,0001339970
0001849296,OKYO Pharma Ltd,OKYO,Nasdaq,nasdaq,0001849296
0000771856,"CHAMPIONS ONCOLOGY, INC.",CSBR,Nasdaq,nasdaq,0000771856
0001919246,Pelthos Therapeutics Inc.,PTHS,NYSE,nyse,0001919246
0001835579,"ImageneBio, Inc.",IMA,Nasdaq,nasdaq,0001835579
0001783328,"TScan Therapeutics, Inc.",TCRX,Nasdaq,nasdaq,0001783328
0001785279,"Metagenomi Therapeutics, Inc.",MGX,Nasdaq,nasdaq,0001785279
0001840229,"MiNK Therapeutics, Inc.",INKT,Nasdaq,nasdaq,0001840229
0001844417,"Estrella Immunopharma, Inc.",ESLA,Nasdaq,nasdaq,0001844417
0001604464,"Atara Biotherapeutics, Inc.",ATRA,Nasdaq,nasdaq,0001604464
0001799448,"Aligos Therapeutics, Inc.",ALGS,Nasdaq,nasdaq,0001799448
0001788028,"Jasper Therapeutics, Inc.",JSPR,Nasdaq,nasdaq,0001788028
0001649989,"Outlook Therapeutics, Inc.",OTLK,Nasdaq,nasdaq,0001649989
0001854270,"Senti Biosciences, Inc.",SNTI,Nasdaq,nasdaq,0001854270
0001838716,Genenta Science S.p.A.,GNTA,Nasdaq,nasdaq,0001838716
0001567264,"INTENSITY THERAPEUTICS, INC.",INTS,Nasdaq,nasdaq,0001567264
0000888721,TRINITY BIOTECH PLC,TRIB,Nasdaq,nasdaq,0000888721
0001971387,"Liminatus Pharma, Inc.",LIMN,Nasdaq,nasdaq,0001971387
0001157075,"PharmaCyte Biotech, Inc.",PMCB,Nasdaq,nasdaq,0001157075
0001187953,"CREATIVE MEDICAL TECHNOLOGY HOLDINGS, INC.",CELZ,Nasdaq,nasdaq,0001187953
